rank,pack,name,category,Q,test_rankicir,monotonicity,ls_sharpe,composite_score,formula,columns
89,factor_pack_023,AM_signed_power_ts_max_ret_20_4ab73333,其他,0.8891,-0.4644,-0.9,-0.9496,0.7055,,收盘价_复权
90,factor_pack_025,AM_div_ts_pct_change_intraday_range_7dfa319a,波动振幅,0.8811,-0.4224,-1.0,-1.1462,0.7055,,"最高价_复权, 收盘价_复权, 最低价_复权"
91,factor_pack_027,AM_div_amount_6693106c,资金基础,0.8605,-0.4347,-1.0,-1.3418,0.7054,,成交额
92,factor_pack_030,AM_ts_pct_change_log_volume_bacd05bd,量能动量,0.8856,-0.4623,-0.9,-1.0161,0.7053,,成交量
93,factor_pack_030,AM_div_amount_d008f97f,资金基础,0.8595,-0.4347,-1.0,-1.3418,0.7049,,成交额
94,factor_pack_022,AM_ts_std_ts_dema_amount_48650d31,资金动量,0.8481,-0.456,-0.9,-1.6157,0.7047,,成交额
95,factor_pack_022,AM_ts_dema_signed_power_amount_4454a286,资金动量,0.8696,-0.4045,-1.0,-1.456,0.7047,,成交额
96,factor_pack_030,AM_div_amount_eb73412d,资金基础,0.8585,-0.4347,-1.0,-1.3418,0.7044,,成交额
97,factor_pack_030,AM_div_sub_ts_maxmin_b0358b94,资金动量,0.8657,-0.441,-1.0,-1.176,0.7044,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
98,factor_pack_025,AM_mul_high_signed_power_b6abef99,资金基础,0.8774,-0.4162,-1.0,-1.2216,0.7043,,"最高价_复权, 成交额"
99,factor_pack_026,AM_div_amount_f3aa53db,资金基础,0.8581,-0.4347,-1.0,-1.3418,0.7042,,成交额
100,factor_pack_028,AM_sub_signed_power_amount_1a450514,资金基础,0.8578,-0.4347,-1.0,-1.3418,0.704,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
